Date,Country,City,SKU,Product_Name,Product_Category,Promotion,Competitor_Promo,Units_Sold,Price,Revenue,Competitor_Brand,Comp_Price
2025-01-01,Germany,Berlin,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,4,6.0,24.0,L'Oreal,6.31
2025-01-01,Germany,Berlin,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,4,15.0,60.0,Schick,16.36
2025-01-01,Germany,Berlin,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,3,5.0,15.0,Elmex,5.21
2025-01-01,Germany,Berlin,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,,2,5.0,10.0,Tampax,5.66
2025-01-01,Germany,Munich,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,2,6.0,12.0,Herbal Essences,5.48
2025-01-01,Germany,Munich,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,2,15.0,30.0,Schick,15.05
2025-01-01,Germany,Munich,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,4,5.0,20.0,Colgate,5.34
2025-01-01,Germany,Munich,SKU_4,Always Maxi Pads,Feminine Care,New Product Launch,,2,5.0,10.0,Tampax,5.38
2025-01-01,Germany,Hamburg,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,2,6.0,12.0,Pantene,5.71
2025-01-01,Germany,Hamburg,SKU_2,Gillette Mach3 Razor,Personal Care,Seasonal Discount,,3,15.0,45.0,Schick,13.84
2025-01-01,Germany,Hamburg,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,2,5.0,10.0,Elmex,4.53
2025-01-01,Germany,Hamburg,SKU_4,Always Maxi Pads,Feminine Care,BOGO,,2,5.0,10.0,Carefree,5.12
2025-01-01,France,Paris,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,4,6.0,24.0,L'Oreal,5.99
2025-01-01,France,Paris,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,2,15.0,30.0,BIC,16.06
2025-01-01,France,Paris,SKU_3,Oral-B Electric Toothbrush,Personal Care,BOGO,Colgate,3,5.0,15.0,Elmex,5.17
2025-01-01,France,Paris,SKU_4,Always Maxi Pads,Feminine Care,BOGO,,2,5.0,10.0,Natracare,5.09
2025-01-01,France,Lyon,SKU_1,Head & Shoulders Shampoo,Personal Care,Bundle Deal,,3,6.0,18.0,L'Oreal,6.92
2025-01-01,France,Lyon,SKU_2,Gillette Mach3 Razor,Personal Care,BOGO,Schick,3,15.0,45.0,Wilkinson,16.3
2025-01-01,France,Lyon,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,4,5.0,20.0,Colgate,5.47
2025-01-01,France,Lyon,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,,3,5.0,15.0,Natracare,5.07
2025-01-01,France,Marseille,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,2,6.0,12.0,Pantene,6.8
2025-01-01,France,Marseille,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,1,15.0,15.0,BIC,14.18
2025-01-01,France,Marseille,SKU_3,Oral-B Electric Toothbrush,Personal Care,BOGO,,2,5.0,10.0,Philips,5.1
2025-01-01,France,Marseille,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,,2,5.0,10.0,Carefree,4.57
2025-01-01,Italy,Rome,SKU_1,Head & Shoulders Shampoo,Personal Care,Clearance,,2,6.0,12.0,Herbal Essences,5.61
2025-01-01,Italy,Rome,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,1,15.0,15.0,Wilkinson,13.87
2025-01-01,Italy,Rome,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,3,5.0,15.0,Elmex,5.16
2025-01-01,Italy,Rome,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,,2,5.0,10.0,Carefree,5.55
2025-01-01,Italy,Milan,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,3,6.0,18.0,L'Oreal,5.96
2025-01-01,Italy,Milan,SKU_2,Gillette Mach3 Razor,Personal Care,Seasonal Discount,,2,15.0,30.0,Schick,13.62
2025-01-01,Italy,Milan,SKU_3,Oral-B Electric Toothbrush,Personal Care,Bundle Deal,,5,5.0,25.0,Colgate,5.56
2025-01-01,Italy,Milan,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,,2,5.0,10.0,Tampax,4.81
2025-01-01,Italy,Naples,SKU_1,Head & Shoulders Shampoo,Personal Care,BOGO,,3,6.0,18.0,Pantene,6.7
2025-01-01,Italy,Naples,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,1,15.0,15.0,BIC,13.53
2025-01-01,Italy,Naples,SKU_3,Oral-B Electric Toothbrush,Personal Care,Clearance,,2,5.0,10.0,Colgate,4.97
2025-01-01,Italy,Naples,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,Natracare,1,5.0,5.0,Natracare,5.43
2025-01-02,Germany,Berlin,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,3,6.0,18.0,Herbal Essences,6.97
2025-01-02,Germany,Berlin,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,3,15.0,45.0,BIC,16.89
2025-01-02,Germany,Berlin,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,4,5.0,20.0,Colgate,5.17
2025-01-02,Germany,Berlin,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,,2,5.0,10.0,Tampax,5.58
2025-01-02,Germany,Munich,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,3,6.0,18.0,L'Oreal,6.37
2025-01-02,Germany,Munich,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,2,15.0,30.0,Wilkinson,17.16
2025-01-02,Germany,Munich,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,3,5.0,15.0,Elmex,5.66
2025-01-02,Germany,Munich,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,Natracare,2,5.0,10.0,Carefree,5.96
2025-01-02,Germany,Hamburg,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,2,6.0,12.0,Pantene,5.59
2025-01-02,Germany,Hamburg,SKU_2,Gillette Mach3 Razor,Personal Care,Seasonal Discount,,1,15.0,15.0,Schick,15.03
2025-01-02,Germany,Hamburg,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,2,5.0,10.0,Colgate,4.79
2025-01-02,Germany,Hamburg,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,,2,5.0,10.0,Natracare,5.45
2025-01-02,France,Paris,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,,3,6.0,18.0,Herbal Essences,6.6
2025-01-02,France,Paris,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,3,15.0,45.0,BIC,14.42
2025-01-02,France,Paris,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,4,5.0,20.0,Philips,5.13
2025-01-02,France,Paris,SKU_4,Always Maxi Pads,Feminine Care,No Promotion,,4,5.0,20.0,Tampax,5.4
2025-01-02,France,Lyon,SKU_1,Head & Shoulders Shampoo,Personal Care,No Promotion,Herbal Essences,2,6.0,12.0,Pantene,6.59
2025-01-02,France,Lyon,SKU_2,Gillette Mach3 Razor,Personal Care,No Promotion,,1,15.0,15.0,Schick,13.96
2025-01-02,France,Lyon,SKU_3,Oral-B Electric Toothbrush,Personal Care,No Promotion,,1,5.0,5.0,Colgate,5.88
